Growth curve of H.biformis,,,
Time (h),OD600,OD600,OD600
0,0.005,0.006,0.006
1.5,0.012,0.017,0.011
3,0.127,0.095,0.112
5,0.715,0.634,0.645
8,1.166,1.112,1.131
10,1.099,1.087,1.029
13,1.022,1.019,1.006
15,1.004,0.999,1.009
