Effects of 5% H. biformis supernatant intervention on the ZO-1 protein expression of IFN-γ pre-processed HIEC-6 cells,,,,,,,,
control,,,IFN-r,,,IFN-r+H. biformis supernatant,,
1,0.0633934,3,0.6849799,0.115392,3,1.0927442,0.1915178,3
