Effects of 5% H. biformis supernatant intervention on the ZO-1 protein expression of IFN-γ (500 ng/mL) pre-processed NCM-460 cells,,,,,,,,
control,,,IFN-r,,,IFN-r+H. biformis supernatant,,
1,0.0869566,3,0.713333,0.1092008,3,0.9970697,0.1554217,3
