Effects of 5% H. biformis supernatant on the scratch injury healing rate of IFN-γ pre-processed NCM-460 cells,,,,,,,,,
,control,,,IFN-r,,,IFN-r+H. biformis supernatant,,
scratch healing rate (%),0.441191,0.397063,0.465731,0.32343,0.208698,0.288916,0.54785,0.607317,0.431385
