Effects of  5% H. biformis supernatant on the TJP1 mRNA expression of IFN-γ pre-processed NCM-460 cells,,,,,,,,
control,,,IFN-r,,,IFN-r+H. biformis supernatant ,,
mean,sd,n,mean,sd,n,mean,sd,n
1,0.120886,3,0.3978797,0.0163204,3,0.9672738,0.0181606,3
