Effects of  5% H. biformis supernatant on the TJP1 mRNA expression of IFN-γ pre-processed HIEC-6 cells,,,,,,,,
control,,,IFN-r,,,IFN-r+H. biformis supernatant ,,
mean,sd,n,mean,sd,n,mean,sd,n
1,0.045219677,3,0.511531662,0.015809128,3,1.053579548,0.070786594,3
