Effects of 1.4 mM L-lysine intervention on the ZO-1 protein expression of IFN-γ pre-processed NCM-460 cells,,,,,,,,
control,,,IFN-r,,,IFN-r+lysine,,
mean,sd,n,mean,sd,n,mean,sd,n
1,0.1752887,3,0.6379458,0.1018765,3,1.135798,0.1707835,3
