Effects of 1.4 mM L-lysine intervention on the ZO-1 protein expression of IFN-γ (500 ng/mL) pre-processed HIEC-6 cells,,,,,,,,
control,,,IFN-r,,,IFN-r+lysine,,
mean,sd,n,mean,sd,n,mean,sd,n
1,0.1826614,3,0.3159201,0.1401998,3,1.1898359,0.3807492,3
