Effects of 1.4 mM L-lysine intervention on the TJP1 mRNA expression of IFN-γ pre-processed HIEC-6 cells,,,,,,,,
control,,,IFN-r,,,IFN-r+lysine,,
mean,sd,n,mean,sd,n,mean,sd,n
1,0.155877,3,0.322408,0.007861,3,0.565183,0.077321,3
