"Dose-response effects of H. biformis supernatant (0, 5%, 10%, 20%, and 40%) on the viability of HIEC-6 ",,,,,,,,,,,,,,,,,,,,
Concentration,0,,,,5%,,,,10%,,,,20%,,,,40%,,,
cell viability (%),108.3884,105.3537,95.58829,90.66961,155.5617,151.0601,150.0965,127.948,144.7176,143.4807,141.985,140.3886,133.8591,131.975,126.7975,126.7687,94.43772,92.40984,91.17298,87.7788
