Effects of 1.4 mM L-lysine intervention on the TJP1 mRNA expression of IFN-γ pre-processed NCM-460,,,,,,,,
control,,,IFN-r,,,IFN-r+lysine,,
mean,sd,n,mean,sd,n,mean,sd,n
1,0.04506,3,0.764433868,0.010597,3,0.864660533,0.042791,3
