Classification_level2,Classification_level1,Type,Gene_number,Percentage,Gene
Energy metabolism,Metabolism,ALL,59,8.7,EUBIFOR_RS00100; EUBIFOR_RS00165; EUBIFOR_RS00250; EUBIFOR_RS00420; EUBIFOR_RS00430; EUBIFOR_RS00875; EUBIFOR_RS01270; EUBIFOR_RS01655; EUBIFOR_RS02290; EUBIFOR_RS02295; EUBIFOR_RS02675; EUBIFOR_RS04205; EUBIFOR_RS04210; EUBIFOR_RS04545; EUBIFOR_RS04550; EUBIFOR_RS04555; EUBIFOR_RS04560; EUBIFOR_RS04565; EUBIFOR_RS04570; EUBIFOR_RS04575; EUBIFOR_RS04580; EUBIFOR_RS04690; EUBIFOR_RS04820; EUBIFOR_RS04825; EUBIFOR_RS05000; EUBIFOR_RS05060; EUBIFOR_RS05640; EUBIFOR_RS05645; EUBIFOR_RS06190; EUBIFOR_RS06355; EUBIFOR_RS06360; EUBIFOR_RS06370; EUBIFOR_RS06375; EUBIFOR_RS06450; EUBIFOR_RS06560; EUBIFOR_RS06685; EUBIFOR_RS07065; EUBIFOR_RS07820; EUBIFOR_RS07825; EUBIFOR_RS07880; EUBIFOR_RS07885; EUBIFOR_RS08465; EUBIFOR_RS08665; EUBIFOR_RS08670; EUBIFOR_RS08675; EUBIFOR_RS08680; EUBIFOR_RS08685; EUBIFOR_RS08690; EUBIFOR_RS08695; EUBIFOR_RS09560; EUBIFOR_RS09605; EUBIFOR_RS09825; EUBIFOR_RS09830; EUBIFOR_RS10010; EUBIFOR_RS10445; EUBIFOR_RS11115; EUBIFOR_RS11120; EUBIFOR_RS13220; EUBIFOR_RS13225
Energy metabolism,Metabolism,DEG,1,100,EUBIFOR_RS02295
Glycan biosynthesis and metabolism,Metabolism,ALL,52,7.67,EUBIFOR_RS00185; EUBIFOR_RS00190; EUBIFOR_RS00530; EUBIFOR_RS00560; EUBIFOR_RS00565; EUBIFOR_RS00570; EUBIFOR_RS00575; EUBIFOR_RS00580; EUBIFOR_RS00620; EUBIFOR_RS00630; EUBIFOR_RS00655; EUBIFOR_RS00660; EUBIFOR_RS00705; EUBIFOR_RS00805; EUBIFOR_RS00890; EUBIFOR_RS01080; EUBIFOR_RS01270; EUBIFOR_RS01775; EUBIFOR_RS02100; EUBIFOR_RS02285; EUBIFOR_RS02980; EUBIFOR_RS03215; EUBIFOR_RS04680; EUBIFOR_RS05085; EUBIFOR_RS05165; EUBIFOR_RS05170; EUBIFOR_RS05175; EUBIFOR_RS05380; EUBIFOR_RS05410; EUBIFOR_RS05470; EUBIFOR_RS05520; EUBIFOR_RS05735; EUBIFOR_RS05860; EUBIFOR_RS05865; EUBIFOR_RS06480; EUBIFOR_RS06485; EUBIFOR_RS06490; EUBIFOR_RS06755; EUBIFOR_RS07215; EUBIFOR_RS07285; EUBIFOR_RS08725; EUBIFOR_RS08875; EUBIFOR_RS08965; EUBIFOR_RS08970; EUBIFOR_RS09120; EUBIFOR_RS09290; EUBIFOR_RS09295; EUBIFOR_RS09320; EUBIFOR_RS09865; EUBIFOR_RS10930; EUBIFOR_RS10940; EUBIFOR_RS11165
Lipid metabolism,Metabolism,ALL,19,2.8,EUBIFOR_RS00655; EUBIFOR_RS00660; EUBIFOR_RS00880; EUBIFOR_RS01570; EUBIFOR_RS01735; EUBIFOR_RS02220; EUBIFOR_RS05640; EUBIFOR_RS05645; EUBIFOR_RS05650; EUBIFOR_RS06000; EUBIFOR_RS06135; EUBIFOR_RS07240; EUBIFOR_RS07430; EUBIFOR_RS08480; EUBIFOR_RS08775; EUBIFOR_RS08960; EUBIFOR_RS09860; EUBIFOR_RS10930; EUBIFOR_RS11580
Metabolism of cofactors and vitamins,Metabolism,ALL,59,8.7,EUBIFOR_RS00070; EUBIFOR_RS00340; EUBIFOR_RS00345; EUBIFOR_RS00840; EUBIFOR_RS01180; EUBIFOR_RS01275; EUBIFOR_RS01600; EUBIFOR_RS01680; EUBIFOR_RS02200; EUBIFOR_RS02215; EUBIFOR_RS02580; EUBIFOR_RS02585; EUBIFOR_RS02675; EUBIFOR_RS02940; EUBIFOR_RS03405; EUBIFOR_RS04705; EUBIFOR_RS04820; EUBIFOR_RS04855; EUBIFOR_RS05025; EUBIFOR_RS05120; EUBIFOR_RS05335; EUBIFOR_RS05345; EUBIFOR_RS05700; EUBIFOR_RS05780; EUBIFOR_RS05790; EUBIFOR_RS05815; EUBIFOR_RS06090; EUBIFOR_RS06390; EUBIFOR_RS06430; EUBIFOR_RS06435; EUBIFOR_RS06555; EUBIFOR_RS06565; EUBIFOR_RS06805; EUBIFOR_RS06810; EUBIFOR_RS07345; EUBIFOR_RS07350; EUBIFOR_RS07355; EUBIFOR_RS07430; EUBIFOR_RS07440; EUBIFOR_RS07465; EUBIFOR_RS07560; EUBIFOR_RS08185; EUBIFOR_RS08430; EUBIFOR_RS08435; EUBIFOR_RS08440; EUBIFOR_RS08485; EUBIFOR_RS08490; EUBIFOR_RS08510; EUBIFOR_RS08515; EUBIFOR_RS08805; EUBIFOR_RS09045; EUBIFOR_RS10010; EUBIFOR_RS10360; EUBIFOR_RS10740; EUBIFOR_RS10745; EUBIFOR_RS10750; EUBIFOR_RS10755; EUBIFOR_RS11580; EUBIFOR_RS12260
Metabolism of other amino acids,Metabolism,ALL,20,2.95,EUBIFOR_RS00325; EUBIFOR_RS00845; EUBIFOR_RS01195; EUBIFOR_RS01435; EUBIFOR_RS01880; EUBIFOR_RS02645; EUBIFOR_RS03025; EUBIFOR_RS03030; EUBIFOR_RS04465; EUBIFOR_RS05000; EUBIFOR_RS05650; EUBIFOR_RS06485; EUBIFOR_RS07310; EUBIFOR_RS07375; EUBIFOR_RS08335; EUBIFOR_RS08470; EUBIFOR_RS09830; EUBIFOR_RS09985; EUBIFOR_RS11580; EUBIFOR_RS11905
Metabolism of terpenoids and polyketides,Metabolism,ALL,26,3.83,EUBIFOR_RS00560; EUBIFOR_RS00565; EUBIFOR_RS00570; EUBIFOR_RS00575; EUBIFOR_RS01070; EUBIFOR_RS01895; EUBIFOR_RS02685; EUBIFOR_RS03045; EUBIFOR_RS05450; EUBIFOR_RS05465; EUBIFOR_RS05640; EUBIFOR_RS05645; EUBIFOR_RS05810; EUBIFOR_RS05815; EUBIFOR_RS07465; EUBIFOR_RS07820; EUBIFOR_RS07825; EUBIFOR_RS07880; EUBIFOR_RS07885; EUBIFOR_RS08785; EUBIFOR_RS09295; EUBIFOR_RS09865; EUBIFOR_RS11115; EUBIFOR_RS11120; EUBIFOR_RS11180; EUBIFOR_RS11580
Nucleotide metabolism,Metabolism,ALL,60,8.85,EUBIFOR_RS00090; EUBIFOR_RS00340; EUBIFOR_RS00855; EUBIFOR_RS00865; EUBIFOR_RS01105; EUBIFOR_RS01400; EUBIFOR_RS01595; EUBIFOR_RS01600; EUBIFOR_RS01665; EUBIFOR_RS01800; EUBIFOR_RS01805; EUBIFOR_RS02630; EUBIFOR_RS03155; EUBIFOR_RS03405; EUBIFOR_RS03480; EUBIFOR_RS04590; EUBIFOR_RS04855; EUBIFOR_RS05605; EUBIFOR_RS05700; EUBIFOR_RS05790; EUBIFOR_RS05855; EUBIFOR_RS06145; EUBIFOR_RS06185; EUBIFOR_RS06390; EUBIFOR_RS07470; EUBIFOR_RS07710; EUBIFOR_RS07775; EUBIFOR_RS07790; EUBIFOR_RS08215; EUBIFOR_RS08355; EUBIFOR_RS08510; EUBIFOR_RS08515; EUBIFOR_RS08520; EUBIFOR_RS08525; EUBIFOR_RS08530; EUBIFOR_RS08535; EUBIFOR_RS08635; EUBIFOR_RS08645; EUBIFOR_RS08985; EUBIFOR_RS09035; EUBIFOR_RS09045; EUBIFOR_RS09050; EUBIFOR_RS09125; EUBIFOR_RS09875; EUBIFOR_RS10005; EUBIFOR_RS10100; EUBIFOR_RS10200; EUBIFOR_RS10430; EUBIFOR_RS10760; EUBIFOR_RS10765; EUBIFOR_RS10770; EUBIFOR_RS10775; EUBIFOR_RS10780; EUBIFOR_RS10785; EUBIFOR_RS10790; EUBIFOR_RS10795; EUBIFOR_RS10800; EUBIFOR_RS11045; EUBIFOR_RS11150; EUBIFOR_RS12835
Xenobiotics biodegradation and metabolism,Metabolism,ALL,16,2.36,EUBIFOR_RS00865; EUBIFOR_RS02630; EUBIFOR_RS03480; EUBIFOR_RS05640; EUBIFOR_RS05645; EUBIFOR_RS05665; EUBIFOR_RS06905; EUBIFOR_RS07710; EUBIFOR_RS07810; EUBIFOR_RS08110; EUBIFOR_RS10200; EUBIFOR_RS11150; EUBIFOR_RS11580; EUBIFOR_RS12835; EUBIFOR_RS13400; EUBIFOR_RS13405
Cancer: overview,Human Diseases,ALL,8,1.18,EUBIFOR_RS00220; EUBIFOR_RS00875; EUBIFOR_RS04450; EUBIFOR_RS05055; EUBIFOR_RS05060; EUBIFOR_RS08180; EUBIFOR_RS09230; EUBIFOR_RS13500
Cancer: specific types,Human Diseases,ALL,2,0.29,EUBIFOR_RS00875; EUBIFOR_RS09230
Cardiovascular disease,Human Diseases,ALL,5,0.74,EUBIFOR_RS04535; EUBIFOR_RS09010; EUBIFOR_RS09230; EUBIFOR_RS10110; EUBIFOR_RS10445
Drug resistance: antimicrobial,Human Diseases,ALL,16,2.36,EUBIFOR_RS00185; EUBIFOR_RS00225; EUBIFOR_RS01080; EUBIFOR_RS01530; EUBIFOR_RS02100; EUBIFOR_RS02965; EUBIFOR_RS02970; EUBIFOR_RS02975; EUBIFOR_RS02980; EUBIFOR_RS03215; EUBIFOR_RS03835; EUBIFOR_RS05705; EUBIFOR_RS06380; EUBIFOR_RS06490; EUBIFOR_RS07285; EUBIFOR_RS09635
Drug resistance: antineoplastic,Human Diseases,ALL,3,0.44,EUBIFOR_RS00340; EUBIFOR_RS00345; EUBIFOR_RS08510
Endocrine and metabolic disease,Human Diseases,ALL,6,0.88,EUBIFOR_RS00875; EUBIFOR_RS01910; EUBIFOR_RS04535; EUBIFOR_RS05055; EUBIFOR_RS09010; EUBIFOR_RS11580
Immune disease,Human Diseases,ALL,1,0.15,EUBIFOR_RS05030
Infectious disease: bacterial,Human Diseases,ALL,13,1.92,EUBIFOR_RS01155; EUBIFOR_RS03725; EUBIFOR_RS04535; EUBIFOR_RS04815; EUBIFOR_RS05340; EUBIFOR_RS06665; EUBIFOR_RS06670; EUBIFOR_RS09230; EUBIFOR_RS09610; EUBIFOR_RS10110; EUBIFOR_RS10445; EUBIFOR_RS11015; EUBIFOR_RS12225
Infectious disease: viral,Human Diseases,ALL,1,0.15,EUBIFOR_RS05055
Neurodegenerative disease,Human Diseases,ALL,2,0.29,EUBIFOR_RS10110; EUBIFOR_RS10445
"Folding, sorting and degradation",Genetic Information Processing,ALL,32,4.72,EUBIFOR_RS01000; EUBIFOR_RS01035; EUBIFOR_RS01115; EUBIFOR_RS01430; EUBIFOR_RS01755; EUBIFOR_RS01770; EUBIFOR_RS02175; EUBIFOR_RS02580; EUBIFOR_RS02585; EUBIFOR_RS04535; EUBIFOR_RS04860; EUBIFOR_RS05060; EUBIFOR_RS05355; EUBIFOR_RS06760; EUBIFOR_RS06780; EUBIFOR_RS07200; EUBIFOR_RS07345; EUBIFOR_RS07350; EUBIFOR_RS07355; EUBIFOR_RS08205; EUBIFOR_RS08900; EUBIFOR_RS09230; EUBIFOR_RS09605; EUBIFOR_RS09840; EUBIFOR_RS09920; EUBIFOR_RS09950; EUBIFOR_RS10475; EUBIFOR_RS10490; EUBIFOR_RS10495; EUBIFOR_RS10730; EUBIFOR_RS10735; EUBIFOR_RS11015
Replication and repair,Genetic Information Processing,ALL,55,8.11,EUBIFOR_RS01085; EUBIFOR_RS01090; EUBIFOR_RS01095; EUBIFOR_RS01810; EUBIFOR_RS01815; EUBIFOR_RS01820; EUBIFOR_RS01825; EUBIFOR_RS01950; EUBIFOR_RS01955; EUBIFOR_RS02210; EUBIFOR_RS02600; EUBIFOR_RS02910; EUBIFOR_RS02995; EUBIFOR_RS03715; EUBIFOR_RS03935; EUBIFOR_RS04600; EUBIFOR_RS04625; EUBIFOR_RS04710; EUBIFOR_RS04715; EUBIFOR_RS05030; EUBIFOR_RS05310; EUBIFOR_RS05315; EUBIFOR_RS05420; EUBIFOR_RS05435; EUBIFOR_RS05460; EUBIFOR_RS05800; EUBIFOR_RS05805; EUBIFOR_RS06595; EUBIFOR_RS06925; EUBIFOR_RS07210; EUBIFOR_RS07360; EUBIFOR_RS07610; EUBIFOR_RS07630; EUBIFOR_RS07750; EUBIFOR_RS08175; EUBIFOR_RS08360; EUBIFOR_RS08790; EUBIFOR_RS08795; EUBIFOR_RS08820; EUBIFOR_RS08825; EUBIFOR_RS08855; EUBIFOR_RS08865; EUBIFOR_RS08915; EUBIFOR_RS09745; EUBIFOR_RS09820; EUBIFOR_RS09910; EUBIFOR_RS09965; EUBIFOR_RS10145; EUBIFOR_RS10885; EUBIFOR_RS11400; EUBIFOR_RS11405; EUBIFOR_RS12215; EUBIFOR_RS12810; EUBIFOR_RS12865; EUBIFOR_RS12870
Transcription,Genetic Information Processing,ALL,4,0.59,EUBIFOR_RS04385; EUBIFOR_RS04475; EUBIFOR_RS04850; EUBIFOR_RS08945
Translation,Genetic Information Processing,ALL,80,11.8,EUBIFOR_RS00700; EUBIFOR_RS00745; EUBIFOR_RS00910; EUBIFOR_RS01575; EUBIFOR_RS01580; EUBIFOR_RS01780; EUBIFOR_RS01835; EUBIFOR_RS01845; EUBIFOR_RS01880; EUBIFOR_RS01930; EUBIFOR_RS01935; EUBIFOR_RS01940; EUBIFOR_RS02505; EUBIFOR_RS02595; EUBIFOR_RS04335; EUBIFOR_RS04340; EUBIFOR_RS04380; EUBIFOR_RS04605; EUBIFOR_RS04620; EUBIFOR_RS04630; EUBIFOR_RS04770; EUBIFOR_RS04865; EUBIFOR_RS04870; EUBIFOR_RS04875; EUBIFOR_RS04880; EUBIFOR_RS04885; EUBIFOR_RS04890; EUBIFOR_RS04895; EUBIFOR_RS04900; EUBIFOR_RS04905; EUBIFOR_RS04910; EUBIFOR_RS04915; EUBIFOR_RS04920; EUBIFOR_RS04925; EUBIFOR_RS04930; EUBIFOR_RS04935; EUBIFOR_RS04940; EUBIFOR_RS04945; EUBIFOR_RS04950; EUBIFOR_RS04955; EUBIFOR_RS04960; EUBIFOR_RS05210; EUBIFOR_RS05330; EUBIFOR_RS05335; EUBIFOR_RS05350; EUBIFOR_RS05430; EUBIFOR_RS05475; EUBIFOR_RS05515; EUBIFOR_RS05525; EUBIFOR_RS05555; EUBIFOR_RS05740; EUBIFOR_RS05755; EUBIFOR_RS05760; EUBIFOR_RS06495; EUBIFOR_RS06660; EUBIFOR_RS08180; EUBIFOR_RS08835; EUBIFOR_RS08890; EUBIFOR_RS08940; EUBIFOR_RS09095; EUBIFOR_RS09450; EUBIFOR_RS09455; EUBIFOR_RS09480; EUBIFOR_RS09885; EUBIFOR_RS09925; EUBIFOR_RS09945; EUBIFOR_RS10455; EUBIFOR_RS10715; EUBIFOR_RS11755; EUBIFOR_RS11760; EUBIFOR_RS11765; EUBIFOR_RS11770; EUBIFOR_RS11780; EUBIFOR_RS11785; EUBIFOR_RS11910; EUBIFOR_RS11915; EUBIFOR_RS12420; EUBIFOR_RS12545; EUBIFOR_RS12570; EUBIFOR_RS13500
Membrane transport,Environmental Information Processing,ALL,111,16.37,EUBIFOR_RS00135; EUBIFOR_RS00145; EUBIFOR_RS00150; EUBIFOR_RS00155; EUBIFOR_RS00600; EUBIFOR_RS01535; EUBIFOR_RS01540; EUBIFOR_RS01545; EUBIFOR_RS01615; EUBIFOR_RS01620; EUBIFOR_RS01635; EUBIFOR_RS01855; EUBIFOR_RS01860; EUBIFOR_RS02005; EUBIFOR_RS02025; EUBIFOR_RS02030; EUBIFOR_RS02060; EUBIFOR_RS02065; EUBIFOR_RS02070; EUBIFOR_RS02435; EUBIFOR_RS02440; EUBIFOR_RS02720; EUBIFOR_RS02725; EUBIFOR_RS03725; EUBIFOR_RS04025; EUBIFOR_RS04355; EUBIFOR_RS04360; EUBIFOR_RS04365; EUBIFOR_RS04510; EUBIFOR_RS04515; EUBIFOR_RS04520; EUBIFOR_RS04525; EUBIFOR_RS04530; EUBIFOR_RS04800; EUBIFOR_RS04805; EUBIFOR_RS04810; EUBIFOR_RS04815; EUBIFOR_RS04860; EUBIFOR_RS05245; EUBIFOR_RS05250; EUBIFOR_RS06400; EUBIFOR_RS06415; EUBIFOR_RS06510; EUBIFOR_RS06515; EUBIFOR_RS06520; EUBIFOR_RS06525; EUBIFOR_RS06530; EUBIFOR_RS06760; EUBIFOR_RS06780; EUBIFOR_RS06835; EUBIFOR_RS06840; EUBIFOR_RS07025; EUBIFOR_RS07030; EUBIFOR_RS07035; EUBIFOR_RS07200; EUBIFOR_RS07330; EUBIFOR_RS07335; EUBIFOR_RS07340; EUBIFOR_RS07690; EUBIFOR_RS07695; EUBIFOR_RS07700; EUBIFOR_RS07845; EUBIFOR_RS07850; EUBIFOR_RS07860; EUBIFOR_RS07900; EUBIFOR_RS07925; EUBIFOR_RS08040; EUBIFOR_RS08045; EUBIFOR_RS08370; EUBIFOR_RS08375; EUBIFOR_RS08385; EUBIFOR_RS08900; EUBIFOR_RS08950; EUBIFOR_RS08955; EUBIFOR_RS09020; EUBIFOR_RS09025; EUBIFOR_RS09030; EUBIFOR_RS09350; EUBIFOR_RS09355; EUBIFOR_RS09565; EUBIFOR_RS09570; EUBIFOR_RS09575; EUBIFOR_RS09660; EUBIFOR_RS09665; EUBIFOR_RS09670; EUBIFOR_RS09840; EUBIFOR_RS09950; EUBIFOR_RS10035; EUBIFOR_RS10040; EUBIFOR_RS10045; EUBIFOR_RS10240; EUBIFOR_RS10245; EUBIFOR_RS10425; EUBIFOR_RS10475; EUBIFOR_RS10490; EUBIFOR_RS10955; EUBIFOR_RS10965; EUBIFOR_RS10985; EUBIFOR_RS11085; EUBIFOR_RS11090; EUBIFOR_RS11095; EUBIFOR_RS11105; EUBIFOR_RS11605; EUBIFOR_RS11610; EUBIFOR_RS11615; EUBIFOR_RS11655; EUBIFOR_RS11660; EUBIFOR_RS11665; EUBIFOR_RS11670; EUBIFOR_RS11685; EUBIFOR_RS12075
Signal transduction,Environmental Information Processing,ALL,45,6.64,EUBIFOR_RS00110; EUBIFOR_RS00220; EUBIFOR_RS00225; EUBIFOR_RS01080; EUBIFOR_RS01385; EUBIFOR_RS02085; EUBIFOR_RS02100; EUBIFOR_RS02315; EUBIFOR_RS02720; EUBIFOR_RS02725; EUBIFOR_RS02730; EUBIFOR_RS02965; EUBIFOR_RS02970; EUBIFOR_RS02975; EUBIFOR_RS03725; EUBIFOR_RS04450; EUBIFOR_RS04660; EUBIFOR_RS04815; EUBIFOR_RS05060; EUBIFOR_RS05640; EUBIFOR_RS05645; EUBIFOR_RS06190; EUBIFOR_RS06315; EUBIFOR_RS06355; EUBIFOR_RS06360; EUBIFOR_RS06380; EUBIFOR_RS06890; EUBIFOR_RS06985; EUBIFOR_RS06990; EUBIFOR_RS07285; EUBIFOR_RS08305; EUBIFOR_RS08310; EUBIFOR_RS08870; EUBIFOR_RS09230; EUBIFOR_RS09550; EUBIFOR_RS09555; EUBIFOR_RS09605; EUBIFOR_RS09635; EUBIFOR_RS09860; EUBIFOR_RS10445; EUBIFOR_RS11600; EUBIFOR_RS12075; EUBIFOR_RS12225; EUBIFOR_RS12245; EUBIFOR_RS13225
Cell growth and death,Cellular Processes,ALL,15,2.21,EUBIFOR_RS00185; EUBIFOR_RS00195; EUBIFOR_RS00785; EUBIFOR_RS01910; EUBIFOR_RS03075; EUBIFOR_RS03080; EUBIFOR_RS04600; EUBIFOR_RS06190; EUBIFOR_RS06355; EUBIFOR_RS06360; EUBIFOR_RS08195; EUBIFOR_RS08870; EUBIFOR_RS09230; EUBIFOR_RS09855; EUBIFOR_RS10335
Cell motility,Cellular Processes,ALL,5,0.74,EUBIFOR_RS02085; EUBIFOR_RS05440; EUBIFOR_RS09660; EUBIFOR_RS10985; EUBIFOR_RS11655
