Red mean density analysis of ZO-1 in the ileum,,,,,,,,,,,,
,IBS-D,,,,,,IBS-D+H.biformis,,,,,
Red mean density ,0.0945,0.0942,0.0937,0.0928,0.091,0.0904,0.099,0.0989,0.0982,0.0949,0.0929,0.0906
,,,,,,,,,,,,
