Red mean density analysis of ZO-1 in the colon,,,,,,,,,,,,
,IBS-D,,,,,,IBS-D+H.biformis,,,,,
Red mean density ,0.0939,0.0932,0.0904,0.0881,0.0865,0.0839,0.1055,0.101,0.0949,0.0933,0.0908,0.0901
